ID,Gene_name
X7899348, RNU6-424P 
X7899350, FAM76A 
X7899361, STX12 
X7899375, RNU6-1245P 
X7899377, PPP1R8 
X7899392, SCARNA1 
X7899394, THEMIS2 
X7899407, SMPDL3B 
X7899417, XKR8 
X7899422,
X7899424, ATPIF1 
X7899436, SESN2 
X7899448, MED18 
X7899455, PHACTR4 
X7899462, RCC1 
X7899480, SNORA73A 
X7899484,
X7899486, TRNAU1AP 
X7899499, RAB42 
X7899502, RNU11 
X7899504, GMEB1 
X7899517,
X7899519, YTHDF2 
X7899528, OPRD1 
X7899534, EPB41 
X7899560,
X7899562, PTPRU 
X7899595, MATN1-AS1 
X7899600, RN7SKP91 
X7899602,
X7899604, ZCCHC17 
X7899615, SERINC2 
X7899627, TINAGL1 
X7899643, HCRTR1 
X7899654, KHDRBS1 
X7899675, TMEM39B 
X7899688, KPNA6 
X7899703, TXLNA 
X7899719, CCDC28B 
X7899727, IQCC 
X7899737, EIF3I 
X7899750, FAM167B 
X7899753, LCK 
X7899774, HDAC1 
X7899790, TSSK3 
X7899795, RN7SL122P 
X7899797, ZBTB8A 
X7899811,
X7899813, RBBP4 
X7899821, KIAA1522 
X7899829, S100PBP 
X7899841, HPCA 
X7899849,
X7899851, AZIN2 
X7899870, ZNF362 
X7899882, ZNF362 
X7899884, ZSCAN20 
X7899898, HMGB4 
X7899905, HMGB4 
X7899909, RNA5SP42 
X7899911, C1orf94 
X7899921, GJB5 
X7899927, GJB4 
X7899932, GJB3 
X7899939, GJA4 
X7899943, ZMYM1 
X7899955,
X7899957, ZMYM4 
X7899988,
X7899990, NCDN 
X7900001, TFAP2E 
X7900009, AGO4 
X7900030, AGO1 
X7900051, AGO3 
X7900076, TEKT2 
X7900087, ADPRHL2 
X7900095, MAP7D1 
X7900119, THRAP3 
X7900129, SH3D21 
X7900144, RNU6-636P 
X7900146, ZC3H12A 
X7900157, RPS27 
X7900159, DNALI1 
X7900167, CDCA8 
X7900181,
X7900183, MANEAL 
X7900192, C1orf122 
X7900197, RNU6-584P 
X7900201, UTP11L 
X7900212, RNU6-753P 
X7900214, RNU6-605P 
X7900216, AKIRIN1 
X7900228, NDUFS5 
X7900235, MACF1 
X7900336,
X7900340, BMP8A 
X7900350,
X7900352, OXCT2 
X7900354, PPIE 
X7900365, MFSD2A 
X7900382, CAP1 
X7900395, RLF 
X7900405, RNU6-1237P 
X7900407,
X7900409, TMCO2 
X7900413, ZMPSTE24 
X7900426, SMAP2 
X7900438, ZFP69B 
X7900446, ZFP69 
X7900454, EXO5 
X7900461, ZNF684 
X7900468, NFYC 
X7900488, MIR30E 
X7900490, MIR30C1 
X7900492, KCNQ4 
X7900508, RN7SL326P 
X7900510, CTPS1 
X7900531, GUCA2B 
X7900538,
X7900540, RIMKLA 
X7900546, PPCS 
X7900555, CCDC30 
X7900576, PPIH 
X7900585, YBX1 
X7900597, C1orf50 
X7900603, LOC100129924 
X7900609, ERMAP 
X7900624, ZNF691 
X7900633, RNU6-880P 
X7900635, FAM183A 
X7900639, WDR65 
X7900652, RNA5SP46 
X7900654, TMEM125 
X7900658, TIE1 
X7900683, MPL 
X7900699, CDC20 
X7900710, SZT2 
X7900792, PTPRF 
X7900833, KDM4A 
X7900857, ST3GAL3 
X7900876, RNU6-1058P 
X7900878, ARTN 
X7900888, IPO13 
X7900911, DPH2 
X7900922, ATP6V0B 
X7900931, B4GALT2 
X7900944, CCDC24 
X7900957, KLF17 
X7900962, DMAP1 
X7900977, RNU6-369P 
X7900979, RNF220 
X7900999, C1orf228 
X7901010, KIF2C 
X7901036,
X7901038, RPS8 
X7901046, SNORD55 
X7901048, SNORD46 
X7901050, SNORD38A 
X7901052, SNORD38B 
X7901054, PLK3 
X7901071, RNA5SP47 
X7901073, UROD 
X7901087, HPDL 
X7901091, TOE1 
X7901102, MMACHC 
X7901110, AKR1A1 
X7901123, NASP 
X7901135, TMEM69 
X7901140, MAST2 
X7901175, TSPAN1 
X7901187, LURAP1 
X7901192, RAD54L 
X7901212, UQCRH 
X7901219, NSUN4 
X7901227,
X7901229, FAAH 
X7901247, DMBX1 
X7901253, TEX38 
X7901256, CYP4B1 
X7901272, CYP4X1 
X7901287, CYP4Z1 
X7901293, CYP4A22 
X7901299, CMPK1 
X7901309, FOXE3 
X7901311, FOXD2 
X7901314,
X7901316, SLC5A9 
X7901334, RNU6-723P 
X7901336, STRADB 
X7901338, RNU4-61P 
X7901340,
X7901342, ELAVL4 
X7901357,
X7901359, RNU6-1026P 
X7901361,
X7901363, CDKN2C 
X7901374,
X7901376, RNF11 
X7901383, RNU6-877P 
X7901385, OSBPL9 
X7901416, RN7SL290P 
X7901418, BTF3L4 
X7901426, ZFYVE9 
X7901443, RN7SL788P 
X7901445,
X7901447, PRPF38A 
X7901460, GPX7 
X7901466, FAM159A 
X7901477, RN7SL62P 
X7901479, ZYG11B 
X7901495,
X7901497, ZYG11A 
X7901513, SCP2 
X7901535, PODN 
X7901549, CPT2 
X7901557, DMRTB1 
X7901563,
X7901565, DIO1 
X7901577, LRRC42 
X7901592, TCEANC2 
X7901601, MRPL37 
X7901611, SSBP3-AS1 
X7901613, ACOT11 
X7901634, MROH7 
X7901662, TTC4 
X7901675, C1orf177 
X7901687, TMEM61 
X7901691, BSND 
X7901696, PCSK9 
X7901710,
X7901712, RNU6-830P 
X7901714,
X7901720, PRKAA2 
X7901732, C8A 
X7901744,
X7901746,
X7901748, FGGY 
X7901765, HOOK1 
X7901788, NFIA 
X7901802, MGC34796 
X7901804, INADL 
X7901852, RNU6-414P 
X7901854, RNU6-1177P 
X7901856, LAMTOR5P1 
X7901858, RN7SL180P 
X7901860, L1TD1 
X7901867, USP1 
X7901883, ANGPTL3 
X7901895, ATG4C 
X7901911,
X7901913, FOXD3 
X7901915, ALG6 
X7901931, EFCAB7 
X7901948, DLEU2L 
X7901951, PGM1 
X7901967, RN7SL130P 
X7901969, ROR1 
X7901982, UBE2U 
X7901993, CACHD1 
X7902023, RAVER2 
X7902036,
X7902038, AK4 
X7902043, DNAJC6 
X7902072,
X7902074, LEPR 
X7902102,
X7902104, PDE4B 
X7902127, SGIP1 
X7902158, TCTEX1D1 
X7902166, MIER1 
X7902189, IL23R 
X7902203, RNU6-586P 
X7902205, IL12RB2 
X7902223, RNU6-387P 
X7902225, RNU6-1031P 
X7902227, GADD45A 
X7902235, LRRC7 
X7902265, RN7SL538P 
X7902267, PIN1P1 
X7902269, SRSF11 
X7902282, HHLA3 
X7902290, CTH 
X7902306,
X7902308, FPGT 
X7902317, FPGT-TNNI3K 
X7902345, TYW3 
X7902353, LHX8 
X7902365, RNU6-622P 
X7902367, ACADM 
X7902382, RABGGTB 
X7902396, SNORD45C 
X7902398, SNORD45A 
X7902400, SNORD45B 
X7902402, MSH4 
X7902425, ST6GALNAC3 
X7902435, TPI1P1 
X7902439, RNU6-161P 
X7902441, ST6GALNAC5 
X7902448, RPL17 
X7902452, AK5 
X7902472, RNA5SP20 
X7902474, RN7SL370P 
X7902476, FAM73A 
X7902493, FAM73A 
X7902495, NEXN 
X7902512, DNAJB4 
X7902518, GIPC2 
X7902527, PTGFR 
X7902541, IFI44L 
X7902553, IFI44 
X7902563, RN7SKP247 
X7902565, LPHN2 
X7902592, ARID3B 
X7902594, PRKACB 
X7902611, LOC100128775 
X7902615,
X7902617, SAMD13 
X7902623, DNASE2B 
X7902634, RPF1 
X7902645, SPATA1 
X7902660, WDR63 
X7902685,
X7902687, CYR61 
X7902700,
X7902702, CLCA2 
X7902721, CLCA1 
X7902738, CLCA4 
X7902754, CLCA3P 
X7902771, SH3GLB1 
X7902787,
X7902789, HS2ST1 
X7902799, LINC01140 
X7902808, LINC01140 
X7902810, LMO4 
X7902822, PKN2 
X7902848, RNU6-125P 
X7902850, GBP6 
X7902861, LRRC8B 
X7902874, LRRC8C 
X7902883, LRRC8D 
X7902891, ZNF326 
X7902909,
X7902911,
X7902913, CDC7 
X7902930, HSP90B3P 
X7902934, BRDT 
X7902957, EPHX4 
X7902965, BTBD8 
X7902977, KIAA1107 
X7902984, C1orf146 
X7902992, RPAP2 
X7903008,
X7903010, RPL5 
X7903022, SNORD21 
X7903024,
X7903026, RNU6-210P 
X7903028, RN7SKP123 
X7903030,
X7903032, MTF2 
X7903049, CCDC18 
X7903079, DR1 
X7903090,
X7903092, FNBP1L 
X7903109,
X7903111,
X7903113,
X7903115,
X7903117, GAPDHP29 
X7903119, ABCD3 
X7903144, SLC44A3 
X7903162, TMEM56 
X7903171, RWDD3 
X7903181, RNU1-130P 
X7903183, EEF1A1P11 
X7903186, RN7SL831P 
X7903188, PTBP2 
X7903203, SNX7 
X7903214, LPPR4 
X7903227, PALMD 
X7903239, AGL 
X7903281, SLC35A3 
X7903292, RNU6-750P 
X7903294, HIAT1 
X7903308, TRMT13 
X7903321, RTCA 
X7903334, CDC14A 
X7903355, GPR88 
X7903358, VCAM1 
X7903369, SLC30A7 
X7903389,
X7903391,
X7903393, S1PR1 
X7903399, RNU6-352P 
X7903401, DNAJA1P5 
X7903404, RNPC3 
X7903407, AMY2B 
X7903414, AMY2A 
X7903425, AMY2A 
X7903440, AMY2A 
X7903455,
X7903457, PRMT6 
X7903461, NTNG1 
X7903474,
X7903478, NBPF6 
X7903490, NBPF6 
X7903507, FAM102B 
X7903519, PRPF38B 
X7903530, FNDC7 
X7903541, STXBP3 
X7903561, SPATA42 
X7903565, GPSM2 
X7903582, RPL17 
X7903586, TMEM167B 
X7903592, KIAA1324 
X7903619, SARS 
X7903632, CELSR2 
X7903667, SYPL2 
X7903676, ATXN7L2 
X7903688, CYB561D1 
X7903694, GPR61 
X7903703, GNAI3 
X7903717, MIR197 
X7903719, AMPD2 
X7903742, GSTM4 
X7903753, GSTM2 
X7903765, GSTM1 
X7903777, GSTM5 
X7903786, CSF1 
X7903803, AHCYL1 
X7903827, STRIP1 
X7903851, UBL4B 
X7903854, SLC6A17 
X7903867, KCNC4 
X7903876,
X7903878, RBM15 
X7903884, PROK1 
X7903889, OR11I1P 
X7903893, CD53 
X7903906, RNA5SP54 
X7903908, CEPT1 
X7903920, CHI3L2 
X7903935, CHIAP2 
X7903945, CHIA 
X7903959, PIFO 
X7903970,
X7903972, ATP5F1 
X7903980, C1orf162 
X7903988, RAP1A 
X7904000, DDX20 
X7904014,
