ID,Gene_name
X7924340,
X7924342, SLC30A10 
X7924351, EPRS 
X7924386,
X7924388, BPNT1 
X7924401, MIR215 
X7924403, MIR194-1 
X7924405, RAB3GAP2 
X7924443, RN7SL464P 
X7924445, C1orf140 
X7924450, DUSP10 
X7924461, RNU6-403P 
X7924463, RNU6-447P 
X7924465, HHIPL2 
X7924476, TAF1A 
X7924491, AIDA 
X7924495,
X7924497,
X7924499, TLR5 
X7924508, SUSD4 
X7924526, TP53BP2 
X7924549, LOC728323 
X7924551, RNU6-1319P 
X7924553,
X7924558, NVL 
X7924582, WDR26 
X7924603, LBR 
X7924619, ENAH 
X7924636, TMEM63A 
X7924663, LEFTY1 
X7924669, PYCR2 
X7924682, LEFTY2 
X7924686, SDE2 
X7924701, ACBD3 
X7924712, LIN9 
X7924731,
X7924733, PARP1 
X7924754,
X7924756,
X7924758, CDKN2AIPNLP2 
X7924760, ITPKB 
X7924773, CDC42BPA 
X7924817, PRO2012 
X7924819,
X7924821, ZNF847P 
X7924823, JMJD4 
X7924832, WNT9A 
X7924840, LOC100506571 
X7924842, C1orf35 
X7924853, MRPL55 
X7924863, C1orf145 
X7924868, TRIM11 
X7924874, TRIM17 
X7924884, HIST3H3 
X7924888, HIST3H2A 
X7924893, HIST3H2BA 
X7924895,
X7924897, CCSAP 
X7924908, RN7SKP276 
X7924910, ACTA1 
X7924923, NUP133 
X7924956, ABCB10 
X7924967, RNU4-21P 
X7924969, TAF5L 
X7924977, PGBD5 
X7924987, AGT 
X7924996, C1orf198 
X7925003, TTC13 
X7925028, FAM89A 
X7925031, LOC149373 
X7925033, C1orf131 
X7925043, EXOC8 
X7925048, EGLN1 
X7925056,
X7925058, SNRPD2P2 
X7925062, SIPA1L2 
X7925087, RNU1-74P 
X7925089, PCNXL2 
X7925126, RNU4-77P 
X7925128,
X7925130, TARBP1 
X7925161, IRF2BP2 
X7925170, PP2672 
X7925174, TOMM20 
X7925182, SNORA14B 
X7925184, RBM34 
X7925201, ARID4B 
X7925229, B3GALNT2 
X7925242,
X7925244,
X7925246,
X7925248,
X7925250, GNG4 
X7925257, LYST 
X7925318,
X7925320, NID1 
X7925342, ERO1LB 
X7925361, LGALS8-AS1 
X7925364, HEATR1 
X7925413, MT1HL1 
X7925417,
X7925419, ZP4 
X7925432,
X7925434,
X7925436,
X7925438,
X7925440,
X7925442,
X7925444,
X7925446,
X7925448, RNU6-725P 
X7925450,
X7925452, GREM2 
X7925457, RGS7 
X7925480, FH 
X7925492, OPN3 
X7925500, CHML 
X7925504, MAP1LC3C 
X7925509, RNU6-1139P 
X7925511, PLD5 
X7925523, RNU6-1319P 
X7925525, CEP170 
X7925531, AKT3 
X7925550, ADSS 
X7925561, HNRNPU-AS1 
X7925565, HNRNPU 
X7925585, LOC101928068 
X7925587, RNU1-132P 
X7925589, SMYD3 
X7925607, RNU6-1283P 
X7925609,
X7925611, TFB2M 
X7925622, AHCTF1 
X7925662, ZNF695 
X7925672, ZNF670 
X7925677, ZNF669 
X7925687, C1orf229 
X7925691, ZNF124 
X7925701, RNA5SP82 
X7925703, VN1R17P 
X7925705, ZNF496 
X7925718, OR2B11 
X7925720, OR2C3 
X7925724, RNU6-691P 
X7925726, OR13G1 
X7925728, OR6F1 
X7925730, OR14A2 
X7925732, OR1C1 
X7925735, OR14A16 
X7925737, OR11L1 
X7925739, OR2T32P 
X7925741, OR2T12 
X7925743, OR2T12 
X7925745, OR2M7 
X7925747, OR2T29 
X7925749, OR2T34 
X7925751, OR2T10 
X7925753,
X7925755, OR2T11 
X7925757, OR2T35 
X7925759, OR2T27 
X7925761, OR14I1 
X7925763, SH3BP5L 
X7925773, ZNF692 
X7925790, RNU6-1205P 
X7925792, ZMYND11 
X7925813, PRR26 
X7925821,
X7925823, GTPBP4 
X7925846, IDI2-AS1 
X7925851, WDR37 
X7925870, LINC00200 
X7925874, RNU6-576P 
X7925876, PFKP 
X7925902, RNU6-163P 
X7925904, AKR1E2 
X7925918, AKR1C1 
X7925927,
X7925929, AKR1C3 
X7925939, AKR1C4 
X7925950, UCN3 
X7925954, NET1 
X7925972, CALML3 
X7925976, RN7SL445P 
X7925978, FAM208B 
X7925996, FBXO18 
X7926021, RBM17 
X7926037, PFKFB3 
X7926059, RN7SKP78 
X7926061, ITIH2 
X7926084, ATP5C1 
X7926096, TAF3 
X7926105, GATA3 
X7926117,
X7926123, TCEB1P3 
X7926127, CELF2 
X7926150, LOC439951 
X7926152, ECHDC3 
X7926158, PROSER2 
X7926168, RNU6-1095P 
X7926170, DHTKD1 
X7926189, SEC61A2 
X7926205,
X7926207, CDC123 
X7926223, CAMK1D 
X7926239, OPTN 
X7926259, MCM10 
X7926283, PRPF18 
X7926297, RNA5SP301 
X7926299, HSPA14 
X7926319, SUV39H2 
X7926330, MEIG1 
X7926334, OLAH 
X7926345, RPP38 
X7926354,
X7926356, PTER 
X7926366, RNU2-18P 
X7926368, VIM 
X7926383,
X7926385, STAM 
X7926403, TMEM236 
X7926410, MRC1 
X7926443,
X7926445, TMEM236 
X7926451, MRC1 
X7926484,
X7926486, SLC39A12 
X7926506, CACNB2 
X7926531, ARL5B 
X7926539,
X7926541,
X7926543,
X7926545, PLXDC2 
X7926563,
X7926565, MLLT10 
X7926594, RN7SKP37 
X7926596, COMMD3 
X7926609, COMMD3-BMI1 
X7926622, SPAG6 
X7926636, RNU6-413P 
X7926638, ARMC3 
X7926659, RNA5SP304 
X7926661, MSRB2 
X7926670, YWHAZP3 
X7926672,
X7926674, PTF1A 
X7926677, OTUD1 
X7926679, KIAA1217 
X7926706, RNA5SP305 
X7926708, THNSL1 
X7926715, GPR158 
X7926728, MYO3A 
X7926766, GAD2 
X7926786, APBB1IP 
X7926805, RNA5SP307 
X7926807, PDSS1 
X7926817,
X7926819,
X7926821, MASTL 
X7926834, RNU6-666P 
X7926836, RAB18 
X7926851, WAC 
X7926871, RNU4ATAC6P 
X7926875, BAMBI 
X7926882, C10orf126 
X7926889, LYZL1 
X7926894,
X7926896, CKS1B 
X7926898, RNU6-908P 
X7926900, MAP3K8 
X7926914, RNA5SP309 
X7926916, ZEB1 
X7926934,
X7926936, CCDC7 
X7926979, RNU6-847P 
X7926981, RNU6-193P 
X7926983, CREM 
X7927008, CCNY 
X7927028, GJD4 
X7927031,
X7927033, ANKRD30A 
X7927056, RNU6-811P 
X7927058, RN7SL314P 
X7927060,
X7927062, ZNF33A 
X7927071, ZNF37A 
X7927082, HSD17B7P2 
X7927089, RNU6-447P 
X7927091, LINC00999 
X7927095, LOC728323 
X7927097, ACTR3BP2 
X7927099, LINC00839 
X7927106, RNU6-1170P 
X7927108, BMS1 
X7927120, RET 
X7927146, CSGALNACT2 
X7927153, RNU6ATAC11P 
X7927155, FXYD4 
X7927167,
X7927169, ZNF487 
X7927173, ZNF485 
X7927179, TMEM72 
X7927186, RASSF4 
X7927202, ZNF22 
X7927207, ANKRD30BP3 
X7927215, ALOX5 
X7927231, AGAP6 
X7927233, FAM21A 
X7927265,
X7927267, FAM35A 
X7927277, GPRIN2 
X7927280, NPY4R 
X7927285, RHEB 
X7927288, FAM35DP 
X7927294, ANTXRL 
X7927305, AGAP5 
X7927307, ANXA8 
X7927323, FAM21A 
X7927353, AGAP6 
X7927363, FAM25C 
X7927367, ANXA8 
X7927383, ZNF488 
X7927389, MAPK8 
X7927405, WDFY4 
X7927425, WDFY4 
X7927474, C10orf71 
X7927482, CHAT 
X7927502, SLC18A3 
X7927505, C10orf53 
X7927513, FAM21A 
X7927517,
X7927519, TIMM23B 
X7927527,
X7927529, MSMB 
X7927536, NCOA4 
X7927548, TIMM23 
X7927550, LOC100133130 
X7927552, AGAP6 
X7927560, FAM21A 
X7927595,
X7927597,
X7927599, ASAH2B 
X7927606, PRKG1 
X7927631, DKK1 
X7927639,
X7927641, RNA5SP318 
X7927643,
X7927645,
X7927647,
X7927649, CISD1 
X7927658, UBE2D1 
X7927669, TFAM 
X7927681, BICC1 
X7927694, PHYHIPL 
X7927704,
X7927706,
X7927708, ARL4P 
X7927710, CDK1 
X7927723, C10orf107 
X7927732, ARID5B 
X7927745, RN7SL591P 
X7927747, ZNF365 
X7927767, ADO 
X7927773, RNU6-543P 
X7927775, NRBF2 
X7927784, JMJD1C-AS1 
X7927786, REEP3 
X7927799, REEP3 
X7927801, ANXA2P3 
X7927803, LRRTM3 
X7927812, RNU6-1250P 
X7927814, SIRT1 
X7927827, MYPN 
X7927852, RN7SKP202 
X7927854, HNRNPH3 
X7927872, RNA5SP319 
X7927874,
X7927876, TET1 
X7927889, CCAR1 
X7927915, STOX1 
X7927924, RNU6-697P 
X7927926, DDX50 
X7927936, DDX21 
X7927955, KIAA1279 
X7927964, SRGN 
X7927972, VPS26A 
X7927981, SUPV3L1 
X7927998, HKDC1 
X7928019, HK1 
X7928046, TSPAN15 
X7928058,
X7928060,
X7928062,
X7928064, C10orf35 
X7928069, COL13A1 
X7928107, H2AFY2 
X7928119, EIF4EBP2 
X7928126, PALD1 
X7928147, ADAMTS14 
X7928171, SGPL1 
X7928189, UNC5B 
X7928208, SLC29A3 
X7928216,
X7928218, CDH23 
X7928291, CHST3 
X7928298,
X7928300, ANAPC16 
X7928306,
X7928308, DDIT4 
X7928314, RNU6-805P 
X7928316,
X7928318, MCU 
X7928328,
X7928330, OIT3 
X7928342, NUDT13 
X7928354, FAM149B1 
X7928363, RNU6-833P 
X7928365,
X7928367,
X7928369, SEC24C 
X7928395, FUT11 
X7928401, CHCHD1 
X7928408, ZSWIM8 
X7928411, ZSWIM8 
X7928429, PLAU 
X7928444, VCL 
X7928471, ADK 
X7928489,
X7928491, KAT6B 
X7928514,
X7928516, SAMD8 
X7928524, VDAC2 
X7928529, ZNF503 
X7928531, ZNF503-AS2 
X7928534, C10orf11 
X7928543, RNA5SP321 
X7928545, DLG5-AS1 
X7928547,
X7928549,
X7928551, RPS24 
X7928556,
X7928558, ZMIZ1 
X7928589, PPIF 
X7928600, EIF5AL1 
X7928602, SFTPA1 
X7928619, NUTM2A 
X7928630, EIF5AL1 
X7928632, SFTPA1 
X7928645, NUTM2A 
X7928653, NUTM2A 
X7928661, LOC100288974 
X7928671, TMEM254 
X7928679, PLAC9 
X7928685, DYDC2 
X7928695, FAM213A 
X7928705, TSPAN14 
X7928723, SH2D4B 
X7928736, NRG3 
X7928746, RNU6-441P 
X7928748, RNU6-129P 
X7928750, RNU1-65P 
X7928752, GHITM 
X7928766, C10orf99 
X7928770, CDHR1 
X7928789, RGR 
X7928800, CCSER2 
X7928815, RNU6-325P 
X7928817,
X7928819, RNA5SP322 
X7928821, RNU6-780P 
X7928823, OPN4 
X7928838, LDB3 
X7928855, BMPR1A 
X7928870, RNU1-19P 
X7928872, SNCG 
X7928882, ADIRF 
X7928890, FAM25C 
X7928907,
X7928909, FAM35A 
X7928915, NUTM2A 
X7928937, MINPP1 
X7928944, PAPSS2 
X7928959, PTEN 
X7928967, LIPJ 
X7928982, LIPF 
X7928994, LIPK 
X7928999, LIPN 
X7929003, LIPM 
X7929012, STAMBPL1 
X7929026, ACTA2-AS1 
X7929032, FAS 
X7929047, IFIT2 
X7929052, IFIT3 
X7929061, IFIT1B 
X7929065, IFIT1 
X7929072, IFIT5 
X7929078, KIF20B 
X7929114, SNRPD2P1 
X7929116, RPP30 
X7929130, DDX18P6 
X7929132, PCGF5 
X7929145, HECTD2 
X7929168, TNKS2 
X7929201, BTAF1 
X7929243, NHP2 
X7929247, MARCH5 
X7929256,
X7929258, KIF11 
X7929282, HHEX 
X7929288, EXOC6 
X7929315, CYP26C1 
X7929322, CYP26A1 
X7929332,
X7929334, CEP55 
X7929344, FFAR4 
X7929350, PDE6C 
X7929373, LGI1 
X7929383, SLC35G1 
X7929388, PLCE1 
X7929424, TBC1D12 
X7929438, HELLS 
X7929466, CYP2C18 
X7929478, CYP2C19 
X7929487, CYP2C9 
X7929497, ACSM6 
X7929511, ENTPD1 
X7929525, C10orf131 
X7929533, CC2D2B 
X7929536, CC2D2B 
X7929541, CC2D2B 
X7929550, CCNJ 
X7929562, ZNF518A 
X7929574, DNTT 
X7929589, RNA5SP324 
X7929591, RNU6-1274P 
X7929593, RPL13AP5 
X7929596, LCOR 
X7929609, C10orf12 
X7929612,
X7929614,
X7929616, FRAT1 
X7929624, PGAM1 
X7929634, ZDHHC16 
X7929649, UBTD1 
X7929653, ANKRD2 
X7929664, HOGA1 
X7929674, C10orf62 
X7929677, PI4K2A 
X7929689, MARVELD1 
X7929692, ZFYVE27 
X7929711, GOLGA7B 
X7929719, R3HCC1L 
X7929732, CNNM1 
X7929744, NKX2-3 
X7929750, ENTPD7 
X7929768, CUTC 
X7929779, ABCC2 
X7929812,
X7929814, RNU6-422P 
X7929816, SCD 
X7929822, WNT8B 
X7929831, HIF1AN 
X7929840, PAX2 
X7929858, FAM178A 
X7929882, SEMA4G 
X7929901, C10orf2 
X7929911, LZTS2 
X7929919, SFXN3 
X7929932, KAZALD1 
X7929945,
X7929947, TLX1 
X7929952,
X7929954,
X7929956, RNU2-43P 
X7929958, BTRC 
X7929976, DPCD 
X7929986, RNU6-1165P 
X7929988, HPS6 
X7929990, PPRC1 
X7930008, NOLC1 
X7930025, ELOVL3 
X7930031, GBF1 
X7930074, NFKB2 
X7930099, FBXL15 
X7930106, TMEM180 
X7930120, SUFU 
X7930137,
X7930139, TRIM8 
X7930148, SFXN2 
X7930162, WBP1L 
X7930168, RNU6-1231P 
X7930170, C10orf32 
X7930179, RNU6-372P 
X7930181, AS3MT 
X7930194, CNNM2 
X7930205, RPEL1 
X7930208, INA 
X7930213, TAF5 
X7930226, PDCD11 
X7930264, NEURL1 
X7930274,
X7930276, SLK 
X7930299, SFR1 
X7930304, GSTO1 
X7930311, GSTO2 
X7930320, CCDC147 
X7930341, SORCS3 
X7930376, RNA5SP326 
X7930378, RNU6-839P 
X7930380, ADD3 
X7930398, MXI1 
X7930413, DUSP5 
X7930422, SMC3 
X7930450,
X7930452, RNA5SP327 
X7930454, PDCD4 
X7930470, SHOC2 
X7930482, ADRA2A 
X7930487, TECTB 
X7930498, ACSL5 
X7930524, VTI1A 
X7930533, VTI1A 
X7930537, TCF7L2 
X7930559,
X7930561, HABP2 
X7930577, CASP7 
X7930593, PLEKHS1 
X7930612,
X7930614, NHLRC2 
X7930627, ADRB1 
X7930629, RNU6-709P 
X7930631, TDRD1 
X7930663, VWA2 
X7930680,
X7930682, FAM160B1 
X7930703, TRUB1 
X7930714, ATRNL1 
X7930750, CCDC172 
X7930760, PNLIPRP3 
X7930775, RNU6-1090P 
X7930777, PNLIP 
X7930790, PNLIPRP1 
X7930804, PNLIPRP2 
X7930818, ENO4 
X7930833, KCNK18 
X7930837, SLC18A2 
X7930857, EMX2 
X7930861, CASC2 
X7930870, TOMM22 
X7930872, NANOS1 
X7930880,
X7930882, FAM45A 
X7930894, GRK5 
X7930915, RN7SL749P 
X7930917, GRK5 
X7930919,
X7930921, BAG3 
X7930927, INPP5F 
X7930954, RN7SL846P 
X7930956, SEC23IP 
X7930980, PPAPDC1A 
X7930994, C10orf85 
X7930996, WDR11 
X7931027, RN7SKP167 
X7931029,
X7931031, TACC2 
X7931062, BTBD16 
X7931079, RNU6-728P 
X7931081, PLEKHA1 
X7931097, HTRA1 
X7931108, DMBT1 
X7931140, DMBT1P1 
X7931152, LOC729800 
X7931155, FAM24A 
X7931159, PSTK 
X7931168, ACADSB 
X7931181, HMX3 
X7931184, HMX2 
X7931187, BUB3 
X7931199, GPR26 
X7931204, LHPP 
X7931214,
X7931216, FAM175B 
X7931226, ZRANB1 
X7931239, EDRF1 
X7931268, BCCIP 
X7931281, FANK1 
X7931293, DOCK1 
X7931346,
X7931348, FOXI2 
X7931353, PTPRE 
X7931379, MGMT 
X7931387,
X7931389, CTAGE7P 
X7931393, GLRX3 
X7931403,
X7931405, PPP2R2D 
X7931417, JAKMIP3 
X7931439, DPYSL4 
X7931455, LRRC27 
X7931469, PWWP2B 
X7931473, C10orf91 
X7931479, INPP5A 
X7931500, GPR123 
X7931519, KNDC1 
X7931553, UTF1 
X7931556, VENTX 
X7931561, ZNF511 
X7931571, PRAP1 
X7931582, PAOX 
X7931607, MTG1 
X7931623, SCART1 
X7931643, CYP2E1 
X7931656, DUX4 
X7931659, DUX4 
X7931662, DUX4 
X7931665, DUX4 
X7931668, DUX4 
X7931671, DUX4 
X7931674, TUBB8 
X7931681, RNA5SP297 
X7931683, DIP2C 
X7931726, RN7SL754P 
X7931728, LARP4B 
X7931748, IDI2 
X7931754, IDI1 
X7931764, ADARB2 
X7931778, PITRM1 
X7931810, KLF6 
X7931822, LOC100128356 
X7931824, AKR1C6P 
X7931830,
X7931832, AKR1C2 
X7931838,
X7931840, AKR1CL1 
X7931850,
X7931852, TUBAL3 
X7931859, CALML5 
X7931863, ASB13 
X7931873, GDI2 
X7931888, ANKRD16 
X7931899, IL15RA 
X7931914, IL2RA 
X7931926,
X7931928,
X7931930, PRKCQ 
X7931951, SFMBT2 
X7931975, RNU6-535P 
X7931977, ITIH5 
X7932000, KIN 
X7932014, GATA3-AS1 
X7932017, RNA5SP299 
X7932019, CELF2-AS1 
X7932023, USP6NL 
X7932041, UPF2 
X7932067,
X7932069, NUDT5 
X7932082, CCDC3 
X7932086, RNA5SP300 
X7932088, UCMA 
X7932094, PHYH 
X7932109, SEPHS1 
X7932118, BEND7 
X7932130,
X7932132, FRMD4A 
X7932160, FAM107B 
X7932177, CDNF 
X7932186, DCLRE1C 
X7932209, OR7E26P 
X7932211, OR7E115P 
X7932214, ACBD7 
X7932221, C10orf111 
X7932227, NMT2 
X7932243, FAM171A1 
X7932254, ITGA8 
X7932285, FAM188A 
X7932304, RNU6-1075P 
X7932306,
X7932308, C1QL3 
X7932311, RSU1 
X7932326, CUBN 
X7932390, TRDMT1 
X7932407, ST8SIA6 
X7932418,
X7932420, PTPLA 
X7932433, NSUN6 
X7932445, RNA5SP303 
X7932447,
X7932449,
X7932451, RNU6-1212P 
X7932453, NEBL 
X7932492, C10orf113 
X7932495, CASC10 
X7932498, SKIDA1 
X7932508, RNU6-306P 
X7932510, RNU6-1141P 
X7932512, DNAJC1 
X7932528, EBLN1 
X7932530, PIP4K2A 
X7932542, C10orf67 
X7932548,
X7932550,
X7932552,
X7932554, ARHGAP21 
X7932584, PRTFDC1 
X7932598, ENKUR 
X7932608, RN7SKP220 
X7932610, RNA5SP306 
X7932612, RNU6-632P 
X7932614,
X7932616, ABI1 
X7932635, RNU6-946P 
X7932637, ANKRD26 
X7932676, RNU6-490P 
X7932678, YME1L1 
X7932703, ACBD5 
X7932721, LRRC37A6P 
X7932725, RNU6-452P 
X7932727, PTCHD3 
X7932733, MKX 
X7932742, RN7SKP132 
X7932744, ARMC4 
X7932765, MPP7 
X7932786,
X7932788, RN7SKP39 
X7932790, RNU6-270P 
X7932792, RNA5SP308 
X7932794,
X7932796, SVIL 
X7932826, KIAA1462 
X7932832, RNU6-598P 
X7932834, GOLGA2P6 
X7932860, RN7SL241P 
X7932862, RN7SL63P 
X7932864, LYZL2 
X7932867, ZNF438 
X7932881, LOC100129307 
X7932883,
X7932885, ARHGAP12 
X7932909, RN7SL825P 
X7932911, KIF5B 
X7932938, EPC1 
X7932960, RNU6-1244P 
X7932962,
X7932964, C1D 
X7932966, ITGB1 
X7932983,
X7932985, NRP1 
X7933008, RN7SL398P 
X7933010, PARD3 
X7933043,
X7933045,
X7933047, CUL2 
X7933071, RNU6-1167P 
X7933073, GJD4 
X7933075, FZD8 
X7933078,
X7933080,
X7933082,
X7933084, NAMPT 
X7933086,
X7933088,
X7933090,
X7933092, ZNF248 
X7933105, ZNF25 
X7933113, RNU6-795P 
X7933115, SEPT7P9 
X7933121, CCNYL2 
X7933129, ZNF37BP 
X7933139, ZNF33B 
X7933145,
X7933147, RNU6-885P 
X7933149, RASGEF1A 
X7933164, HNRNPF 
X7933176,
X7933178,
X7933180, ZNF239 
X7933186, ZNF32 
X7933190, LOC100131195 
X7933192, HNRNPA3P1 
X7933194, CXCL12 
X7933204, C10orf10 
X7933209, C10orf25 
X7933217, RNU6-1207P 
X7933219, OR13A1 
X7933228, MARCH8 
X7933237, ZFAND4 
X7933252, AGAP6 
X7933261, LOC100133130 
X7933263, PTPN20B 
X7933279, FRMPD2 
X7933290, BMS1P5 
X7933296, RN7SL733P 
X7933298, SYT15 
X7933310, LOC100996760 
X7933312, ANXA8 
X7933327, FAM25C 
X7933331, AGAP7P 
X7933341, ASAH2B 
X7933359, RBP3 
X7933366, GDF2 
X7933372, GDF10 
X7933379, PTPN20B 
X7933394, FRMPD2 
X7933405, AGAP6 
X7933413, LOC102725194 
X7933421, RN7SL733P 
X7933423, FAM25C 
X7933427, AGAP5 
X7933437, PTPN20B 
X7933442, PTPN20B 
X7933446, FRMPD2 
X7933469, ARHGAP22 
X7933484, LRRC18 
X7933488, VSTM4 
X7933498, FAM170B 
X7933501, DRGX 
X7933509, ERCC6 
X7933535,
X7933537, OGDHL 
X7933561, PARG 
X7933572, LOC100133130 
X7933574, AGAP6 
X7933582, TIMM23 
X7933593,
X7933595,
X7933597, ASAH2B 
X7933619, SGMS1 
X7933632,
X7933634,
X7933638,
X7933640, A1CF 
X7933659, CSTF2T 
X7933665, MBL2 
X7933672, PCDH15 
X7933707, ZWINT 
X7933723, IPMK 
X7933731,
X7933733, FAM13C 
X7933750, SLC16A9 
X7933758,
X7933760, CCDC6 
X7933772, ANK3 
X7933821, RHOBTB1 
X7933840, RNU2-72P 
X7933842, TMEM26 
X7933855, RTKN2 
X7933872, EGR2 
X7933877, JMJD1C 
X7933904, CTNNA3 
X7933929,
X7933931,
X7933933, DNAJC12 
X7933945, RN7SL394P 
X7933947, HERC4 
X7933976, RN7SL220P 
X7933978, ATOH7 
X7933982, PBLD 
X7933999, RUFY2 
X7934026, DNA2 
X7934050, SLC25A16 
X7934066,
X7934068,
X7934070, RNU6-571P 
X7934072,
X7934074, TACR2 
X7934083, NEUROG3 
X7934091,
X7934093,
X7934095,
X7934097,
X7934099,
X7934101, AIFM2 
X7934114, TYSND1 
X7934122, SAR1A 
X7934133, PPA1 
X7934141, NPFFR1 
X7934145, LRRC20 
X7934154,
X7934156, NODAL 
X7934161, PRF1 
X7934166, TBATA 
X7934178, PCBD1 
X7934185, C10orf54 
X7934196, PSAP 
X7934215, SPOCK2 
X7934228, ASCC1 
X7934244, DNAJB12 
X7934255, MICU1 
X7934269,
X7934271, PLA2G12B 
X7934278, P4HA1 
X7934295,
X7934297,
X7934299,
X7934301, ECD 
X7934318,
X7934320, DNAJC9 
X7934326, MRPS16 
X7934334, TTC18 
X7934365,
X7934367, ANXA7 
X7934384, MSS51 
X7934393, PPP3CB 
X7934411, USP54 
X7934432, RNU6-883P 
X7934434, MYOZ1 
X7934442, SYNPO2L 
X7934451, AGAP5 
X7934459, NDST2 
X7934477, CAMK2G 
X7934505, C10orf55 
X7934513, AP3M1 
X7934527, DUPD1 
X7934531, PPIAP13 
X7934533, DUSP13 
X7934544, COMTD1 
X7934553, ZNF503 
X7934566, RN7SL518P 
X7934568, RNU6-673P 
X7934570, KCNMA1 
X7934613, RNU6-1266P 
X7934615, DLG5 
X7934651, RN7SL284P 
X7934653, POLR3A 
X7934690, ZCCHC24 
X7934698, SFTPA2 
X7934706,
X7934708, SFTPA2 
X7934717,
X7934719, SFTPD 
X7934729, C1DP2 
X7934731, C1DP2 
X7934733, ANXA11 
X7934753, EIF5AL1 
X7934755, MAT1A 
X7934767, DYDC1 
X7934777, RNU6-478P 
X7934779, LRIT2 
X7934783, LRIT1 
X7934789, GRID1 
X7934810, RN7SKP238 
X7934812, WAPAL 
X7934838, RPL7AP8 
X7934840,
X7934842, MMRN2 
X7934850, RNU6-529P 
X7934852, GLUD1 
X7934868, RN7SL733P 
X7934870, ATAD1 
X7934883, RN7SL78P 
X7934885, RNLS 
X7934896,
X7934898, ANKRD22 
X7934906, ACTA2 
X7934916, CH25H 
X7934920, LIPA 
X7934936, SLC16A12 
X7934945, PANK1 
X7934959, MIR107 
X7934961, FLJ37201 
X7934966, RN7SKP143 
X7934968,
X7934970, HTR7 
X7934977,
X7934979, ANKRD1 
X7934991, RNU6-740P 
X7934993, NUDT9P1 
X7934997, PPP1R3C 
X7935002, SRP9 
X7935006, FGFBP3 
X7935011, CPEB3 
X7935025,
X7935027, IDE 
X7935054, EIF2S2P3 
X7935056,
X7935058, MYOF 
X7935114, RNA5SP323 
X7935116, RBP4 
X7935123, FRA10AC1 
X7935139, PIPSL 
X7935142,
X7935144, RNU6-657P 
X7935146, NOC3L 
X7935169, CYP2C8 
X7935180, PDLIM1 
X7935188, SORBS1 
X7935228,
X7935230, ALDH18A1 
X7935251, TCTN3 
X7935270, BLNK 
X7935288, OPALIN 
X7935296, TLL2 
X7935320, TM9SF3 
X7935337, PIK3AP1 
X7935359,
X7935361, SLIT1 
X7935401, ARHGAP19-SLIT1 
X7935403, ARHGAP19 
X7935421, FRAT2 
X7935425, RRP12 
X7935462, EXOSC1 
X7935474, MMS19 
X7935510, MORN4 
X7935521, AVPI1 
X7935528, SFRP5 
X7935535, CRTAC1 
X7935553, LOXL4 
X7935572, PYROXD2 
X7935588, HPS1 
X7935613, HPSE2 
X7935627, GOT1 
X7935639, SLC25A28 
X7935647, COX15 
X7935660, DNMBP 
X7935679, CPN1 
X7935690,
X7935692, ERLIN1 
X7935707, CHUK 
X7935730, CWF19L1 
X7935746, BLOC1S2 
X7935756, PKD2L1 
X7935776,
X7935778,
X7935780, SEC31B 
X7935810, NDUFB8 
X7935819, MRPL43 
X7935834, PDZD7 
X7935855, LBX1 
X7935859, RNU2-59P 
X7935861,
X7935863,
X7935865, POLL 
X7935882, FBXW4 
X7935892, FGF8 
X7935903, NPM3 
X7935910, MGEA5 
X7935930, KCNIP2 
X7935951, C10orf76 
X7935968, LDB1 
X7935983, PITX3 
X7935990, PSD 
X7936011, CUEDC2 
X7936023, C10orf95 
X7936028, ACTR1A 
X7936041, ARL3 
X7936050, CYP17A1 
X7936062,
X7936064, NT5C2 
X7936083, PCGF6 
X7936089, RNU11-3P 
X7936091, USMG5 
X7936096, PDCD11 
X7936100, CALHM2 
X7936108, CALHM1 
X7936111, CALHM3 
X7936115, SH3PXD2A 
X7936134, OBFC1 
X7936144, COL17A1 
X7936201, WDR96 
X7936242, ITPRIP 
X7936249, SORCS1 
X7936280, RN7SKP278 
X7936282, RNU5B-6P 
X7936284, XPNPEP1 
X7936307, SMNDC1 
X7936318,
X7936320, RPL13AP6 
X7936322, GPAM 
X7936346, ZDHHC6 
X7936360, NRAP 
X7936406,
X7936408, DCLRE1A 
X7936419, CCDC186 
X7936439, AFAP1L2 
X7936461, RN7SL384P 
X7936463, ABLIM1 
X7936492, PPIAP19 
X7936494, GFRA1 
X7936507, C10orf82 
X7936516, HSPA12A 
X7936529, KIAA1598 
X7936552, VAX1 
X7936559, PDZD8 
X7936567, RAB11FIP2 
X7936576,
X7936578, FAM204A 
X7936590, PRLHR 
X7936596, CACUL1 
X7936612,
X7936614, EIF3A 
X7936637, SNORA19 
X7936639,
X7936641, SFXN4 
X7936661, PRDX3 
X7936673, RGS10 
X7936683, TIAL1 
X7936706, MCMBP 
X7936727, RPL21 
X7936734, FGFR2 
X7936762, ATE1 
X7936777, NSMCE4A 
X7936793, C10orf120 
X7936798, CUZD1 
X7936809, FAM24B 
X7936817, C10orf88 
X7936826, IKZF5 
X7936833,
X7936835, CPXM2 
X7936856, CHST15 
X7936871, OAT 
X7936882, NKX1-2 
X7936884, FAM53B 
X7936891, METTL10 
X7936902,
X7936904, CTBP2 
X7936916, FLJ40536 
X7936918, TEX36 
X7936923, ALDOAP2 
X7936925, FLJ37035 
